n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADV_constraint
10	1	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The dog quietly chased the squirrel across the park.	0
8	1	0	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0	2.0	0	4	Billy ran down the dark street alone.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rose slowly in the sky.	0
7	1	0	0	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun set slowly behind the mountains	0
11	2	0	1	1	1	1	2	1	0	2	0	0	0	0	1	1	0	2.0	0	6	I walked quickly to the door and opened it calmly.	0
9	0	0	1	2	0	3	0	2	0	1	0	0	0	0	0	1	0	2.0	0	7	Lies the cat on the table with ease.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
17	0	0	1	3	1	5	1	4	0	2	0	0	0	0	2	1	0	4.0	0	8	The cat sat on the windowsill and watched the bird with a gleam in its eye.	0
13	1	0	2	1	0	2	1	2	0	2	0	0	1	1	1	1	0	3.0	1	5	Slowly, she walked to the store to buy a red apple.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The dog run quickly through the park.	0
7	1	0	0	1	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	4	The car speeded down the highway silently	0
10	2	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	2.0	0	4	Max slowly and quietly walked through the dark woods.	0
10	1	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	6	The dog chased the cat quickly around the tree.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The car accelerated swiftly down the hill.	0
