n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADP_constraint
9	1	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	5	The tree towered majestically above the forest floor.	0
12	0	1	1	2	0	3	0	2	1	2	0	0	0	1	1	1	0	3.0	1	7	John reached the top of the mountain after climbing for hours.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on the rug.	0
11	0	0	2	1	0	2	1	2	0	2	0	0	1	0	1	1	1	3.0	1	6	Jumping over the puddle, he reached the other side.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sank slowly in the sky.	0
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on Margie's lap.	0
14	0	0	1	2	1	4	1	3	0	2	0	0	0	0	1	1	0	3.0	0	5	The sun rises over the horizon and casts its light upon the world.	0
12	0	0	1	2	0	4	0	1	0	2	0	2	0	0	1	0	0	3.0	0	6	Ingredients for baked potatoes will be served at the dinner party.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
15	1	0	2	3	0	4	1	1	1	2	0	0	0	0	1	1	1	4.0	1	6	Walking home from school, Sara felt a sense of relief wash over her.	0
13	2	0	1	2	0	3	0	3	0	1	0	0	1	0	1	0	0	3.0	0	5	The sun stood brightly overhead without the need for a positional phrase.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rose quietly over the mountain.	0
8	2	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	4	John runs quickly across the field alone.	0
12	0	0	1	2	1	3	1	2	0	2	0	0	0	0	1	1	0	3.0	0	5	Water cascaded over the edge and poured itself onto the ground.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rises slowly in the sky.	0
9	0	0	1	1	0	3	1	2	0	1	0	0	0	0	1	1	0	2.0	0	6	She ate the sandwich in the living room.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
12	0	0	1	1	1	2	0	2	0	1	0	0	4	0	1	0	0	3.0	0	7	The new car smelled fresh and exciting in the empty garage.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The rain fell on the empty forest.	0
12	1	0	1	1	0	2	1	2	0	2	0	1	1	1	1	1	0	4.0	1	5	I can see a bird flying high in the blue sky.	0
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	1	0	3.0	0	3	A bright light illuminated the vast emptiness of space.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat purred under the bed.	0
10	0	1	1	1	0	2	1	1	1	2	0	0	0	1	2	0	0	3.0	1	4	John smiled as his dog trotted around the corner.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	She walked to the store.	0
17	1	0	1	1	0	3	1	2	0	2	0	1	3	1	1	1	0	3.0	1	8	The new baby was crying loudly despite the tired mother's best efforts to soothe him.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
9	1	0	1	1	0	3	0	0	0	1	0	0	1	0	1	0	0	3.0	0	6	Moon orbited silently in night's inky darkness.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred contentedly.	0
16	1	0	2	3	0	3	1	2	0	1	0	0	3	0	1	0	0	3.0	0	7	In the dim light of early dawn, she slowly rose from the damp earth.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my shoulder.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred quietly on my lap.	0
8	0	0	1	0	0	3	0	2	0	0	0	1	1	0	1	0	0	2.0	0	4	The sky is a pale blue today.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun set slowly over the horizon.	0
15	1	0	1	2	1	3	3	1	0	2	0	0	1	0	1	1	0	3.0	0	6	He walked slowly to the tree and touched its trunk with his left hand.	0
12	0	0	1	2	0	4	0	4	0	1	0	0	0	0	1	1	0	2.0	0	8	The dog chased the cat across the field without any adpositions.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The sky was blue and empty.	0
10	1	0	1	1	0	2	1	1	0	2	0	0	0	1	1	1	0	2.0	1	6	She walked slowly to the kitchen to make breakfast. (0 adpositions)	0
19	0	0	2	3	1	4	0	4	0	1	0	0	4	0	1	0	0	4.0	0	7	Under a dark and starry sky, the creatures of the forest gathered at the ancient gnarled tree. (0 adpositions)	0
8	0	0	1	2	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	5	He went down the street on foot. (0 adpositions)	0
7	1	0	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred softly on my lap	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The car is red and fast.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The book is located on the desk.	0
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The car drove down the hill.	0
13	3	2	1	0	0	1	1	1	1	2	0	1	0	1	2	1	0	3.0	1	8	John ran away as quickly as he could without making any noise.	0
12	1	0	1	2	0	3	0	3	0	2	0	0	0	0	1	0	0	2.0	0	8	The cat slept soundly under the blanket without any supporting structures.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat sat quietly under the table.	0
7	1	0	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap	0
7	1	0	0	0	0	2	0	2	0	1	0	0	1	0	1	1	0	2.0	0	3	The dog quickly ate the delicious meal	0
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	She walked slowly down the path.	1
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	He ran quickly across the park.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
8	0	0	1	2	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat curled up in the window.	1
8	0	0	1	1	0	2	0	2	1	1	0	0	0	0	1	1	0	2.0	0	5	John took a book from the shelf.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the windowsill.	1
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	1	1	0	2.0	0	5	He ate the sandwich in the kitchen.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
15	1	0	2	0	1	3	1	1	0	3	0	1	2	1	3	1	0	3.0	1	9	Adjunctive adjectives describe how something is done, and adverbial phrase modifies a verb.	1
7	0	0	1	1	0	1	0	1	2	1	0	0	0	0	1	1	0	2.0	0	4	Mandy met Tom at the library.	1
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The book is located on the table.	1
9	0	0	1	2	0	2	2	1	0	1	0	0	0	0	1	0	0	2.0	0	6	She went to the store with her friend.	1
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The cat chased the mouse across the room.	1
6	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	3	Lisa runs across the park.	1
9	0	0	1	2	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	5	The lion jumped on the zebra with excitement.	1
7	0	0	1	0	0	2	0	2	0	1	0	0	1	0	1	1	0	2.0	0	3	The cat chased the red ball. 	1
9	0	0	1	2	0	2	1	2	0	1	0	0	0	0	1	0	0	3.0	0	3	He stood on the top of the mountain.	1
11	0	0	2	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The big, red car drove down the steep hill.	1
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The dog chased the cat around the tree.	1
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The cat chased the mouse around the corner.	1
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	She walked slowly down the street.	1
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The car sped down the winding road.	1
12	1	0	1	1	0	3	0	3	0	3	0	0	0	2	2	0	0	4.0	2	4	The cat sat on the windowsill watching the birds fly outside.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The cat is on the windowsill.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The cat chased the mouse across the floor.	1
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on Jack's lap.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The dog ran across the vast green field.	1
8	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	2.0	0	4	Bruce quickly walked to the bus stop.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
18	0	0	1	4	0	5	1	3	0	2	1	0	1	1	1	1	0	4.0	1	8	She bought a beautiful bouquet of wildflowers with the flowers leaning to one side in the vase.	1
8	0	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	3	Momma's cat purred on the windowsill.	1
10	1	0	1	0	0	1	3	1	0	2	0	0	1	1	2	1	0	3.0	1	3	I have a new iPhone that I ordered online.	1
6	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	I am running down the stairs	1
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	1	1	0	2.0	0	5	She put the book on the table.	1
6	0	0	0	1	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	The bear climbed up the mountain	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
11	0	0	1	2	0	3	1	3	0	1	0	0	0	0	1	1	0	3.0	0	5	She placed the cat on the edge of the window.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
10	1	0	2	0	0	2	1	1	0	2	0	0	0	0	1	1	1	3.0	1	4	Advancing quickly, she approached the teacher's desk.	1
19	2	1	1	2	0	4	1	2	1	3	0	0	1	2	2	1	0	3.0	2	9	Adriana quickly walked down the dark street alone in order to reach the grocery store before it closed.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The snowflakes fell silently on the ground.	1
11	1	0	2	1	0	3	0	2	0	2	0	0	0	0	1	0	1	2.0	1	6	Running quickly, the race car sped down the track.	1
9	1	0	1	1	0	2	1	1	0	1	0	0	1	0	1	0	0	2.0	0	4	The big cat purred contentedly on my lap.	1
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	Underneath the shadows, a lone figure crept	1
10	0	0	1	2	0	2	1	2	0	1	0	0	1	0	1	0	0	2.0	0	7	She walked into the park through the big gate.	2
15	0	1	1	2	0	6	1	2	0	2	0	0	0	1	1	1	0	3.0	1	8	Mother kissed her child in the living room before going to the grocery store.	2
12	0	0	1	2	1	5	0	2	0	1	0	0	0	0	1	0	0	4.0	0	4	The monkey clung to the tree branch with excitement and hunger.	2
13	1	0	1	2	0	3	2	1	0	2	0	0	0	1	1	1	0	3.0	1	6	I walked carefully towards the park to play soccer with my friends.	2
15	1	0	2	2	0	3	0	3	0	1	0	0	3	0	1	0	0	3.0	0	5	The big, blue whale swam slowly through the clear waters of the ocean.	2
14	0	0	1	2	0	5	1	3	0	2	0	0	0	1	1	1	0	3.0	1	5	The monkey hung from the tree branch using its tail as an adposition.	2
12	0	0	1	2	1	3	0	2	1	2	0	0	0	0	1	1	0	4.0	0	5	John walked to the store and bought a pound of butter.	2
23	0	0	1	4	0	7	2	3	1	2	0	1	2	1	1	1	0	5.0	1	11	I will meet John at the park tomorrow afternoon under the tall oak tree near the little girl playing with her ball.	2
8	0	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	4	The cat purred on John's lap.	2
15	3	0	1	2	1	2	0	2	1	2	0	0	1	0	1	0	0	3.0	0	8	Adam walked quickly down the busy street and then turned left onto the alleyway.	2
12	2	0	1	1	0	3	0	3	0	2	0	0	0	0	1	1	0	3.0	0	5	The cat sat on the window silently watchig the birds outside.	2
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	1	1	0	2.0	0	5	He put the book on the table.	2
8	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	2.0	0	5	He walked slowly toward the bright lights.	2
8	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	2.0	0	5	She walked carefully towards the dark forest. (Adposition: towards, adposition: dark forest)	2
8	0	0	1	2	0	3	0	0	1	1	0	0	0	0	1	0	0	3.0	0	2	Brown bears live in trees with branches.	2
16	1	0	2	2	0	4	1	2	2	2	0	0	0	1	2	2	0	4.0	1	5	John ate the pizza by the park, where Tom played basketball with his friends.	2
12	0	0	1	3	0	4	0	3	0	1	0	0	0	0	1	0	0	2.0	0	8	The monkey jumped from the trees to the grass with excitement.	2
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	6	The ball bounced over the wall into the park.	2
16	0	0	1	2	0	5	1	2	1	1	0	0	3	0	1	1	0	2.0	0	13	Dave drove his red motorcycle down the long winding road ad through the dark forest.	2
15	1	0	1	2	0	4	0	3	0	1	0	0	2	0	1	0	0	4.0	0	6	The cat purred contentedly on the soft cushion beside the old man's chair.	2
