n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NUM_constraint
13	0	0	3	1	0	2	0	2	0	2	1	0	2	0	1	1	1	3.0	1	8	Eating the delicious croissants felt like a ...................... (zero numeral) experience	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets over the ocean waves. (0 numerals)	0
15	0	0	1	3	0	5	0	3	0	0	0	1	2	0	1	0	0	3.0	0	6	The sky was a brilliant shade of blue without a single cloud in sight.	0
12	2	0	1	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	The cat sat on the window sill watching the birds outside.	0
15	1	1	1	1	0	3	0	3	0	3	0	0	1	2	1	1	0	4.0	2	6	The dog ran swiftly through the forest without stopping to chase the small rabbit.	0
21	0	1	3	2	1	6	1	2	0	3	1	0	1	1	2	0	0	4.0	1	14	Five cats played hide-and-seek on their front lawn until the evening sun dipped behind the trees.	0
7	1	0	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap	0
13	1	0	1	1	0	4	0	2	0	1	0	0	2	0	1	0	0	3.0	0	4	A sunset's warm orange glow slowly spread across the desert sky. (1 sentence)	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rose slowly in the horizon.	0
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred loudly on Mary's lap.	0
12	0	0	1	1	0	3	1	1	1	2	0	0	1	1	1	1	0	3.0	1	5	Ninja assassins crept through the forest to reach their target unseen.	0
10	1	0	1	1	0	3	1	2	0	1	0	0	0	0	1	1	0	2.0	0	5	The cat silently stalked its prey through the grass.	0
28	0	2	1	6	0	10	0	4	0	3	0	0	2	2	3	1	0	4.0	2	12	Intricate patterns of color swirled on the canvas as the artist applied layer upon layer of paint with reckless abandon until the sun dipped below the horizon.	0
8	0	0	1	0	0	2	0	1	1	0	0	1	1	0	1	0	0	3.0	0	3	John's favorite book is a novel.	0
18	0	0	2	2	1	6	0	2	0	2	0	0	3	1	1	2	0	5.0	1	7	The sun cast bright rays over the landscape, illuminating fields of golden wheat and blue skies.	0
7	1	0	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap	0
9	1	0	1	1	0	2	0	1	0	1	1	1	0	0	1	0	0	2.0	0	3	The train was heading south on track 5.	0
17	0	0	1	3	0	4	1	3	0	1	0	0	4	0	1	0	0	3.0	0	8	A majestic bald eagle soared above the tranquil lake without a single numeral on its feathers.	0
17	1	0	2	2	0	5	1	2	0	3	1	0	0	1	2	0	0	3.0	1	9	Eight elephants stood silently on the forest path, their tusks glistening in the fading light.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat purrs in the sunbeam.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
11	0	0	1	1	0	4	1	1	0	2	1	0	0	1	1	1	0	4.0	1	5	I saw three robins perched on a fence post yesterday.	0
12	0	0	1	1	0	3	0	2	0	1	0	1	3	0	1	0	0	2.0	0	7	The sun will shine bright on the warm sandy beach today.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
11	0	1	1	1	0	3	1	2	0	2	0	0	0	1	2	0	0	3.0	1	4	The cat purred as it sat on the window sill.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
9	0	0	1	2	0	4	0	0	0	2	0	0	0	1	1	0	0	4.0	1	4	Elephants parade through jungle, trunks waving in unison	0
13	1	0	1	1	1	3	2	2	0	2	0	0	0	0	1	2	0	3.0	0	5	The dog chased the cat rapidly and caught it in its jaws.	0
10	1	0	1	1	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	6	The moon orbited quietly in the dark night sky.	0
16	1	2	1	1	0	2	2	1	1	3	1	0	0	2	3	1	0	4.0	2	6	Judith counted silently to ten while she waited for her friend to answer the phone.	0
12	1	0	2	1	0	4	0	2	0	1	0	0	1	0	1	0	0	3.0	0	8	The stars shone brilliingly in the crystal-clear night sky.	0
12	2	0	1	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	The cat sat on the window silently watching the birds outside.	0
8	0	1	1	0	0	1	2	0	0	2	1	0	0	1	1	2	0	2.0	1	4	She ate six apples without counting them.	0
14	1	1	1	1	0	3	0	3	0	3	0	0	0	2	2	0	0	3.0	2	8	The sun set slowly in the sky as the stars began to twinkle.	0
12	0	0	1	2	0	4	1	1	0	0	0	1	2	0	2	0	0	4.0	0	4	The park was full of birds, its trees heavy with foliage	0
16	0	0	2	2	0	4	1	2	0	2	1	0	2	1	2	0	0	4.0	1	4	Nineteen elephants stood on the tiny rock, their trunks entwined in a joyful jubilation.	0
7	0	0	1	1	0	2	1	0	0	1	1	0	0	0	1	1	0	2.0	0	4	She ate five sandwiches for lunch.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
15	0	0	3	2	0	4	0	3	0	1	0	0	2	0	1	0	0	2.0	0	6	In a bold, red sports car, the sunset raced towards the horizon.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
7	1	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	A rooster crowed confidently at dawn.	0
12	0	1	1	2	0	4	0	2	0	2	0	0	0	1	2	0	0	3.0	1	5	The sky bloomed with fire as night fell over the mountains.	0
10	1	0	1	1	0	2	0	1	0	1	0	1	2	0	1	0	0	2.0	0	5	The sun is shining brightly in clear blue skies.	0
7	1	0	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap	0
12	0	0	1	2	0	4	0	3	0	0	0	1	1	0	1	0	0	3.0	0	4	The sky was a brilliant blue without any clouds in sight.	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	2.0	0	5	The dog chased the cat with eager excitement.	0
18	1	0	2	1	0	5	1	4	0	2	0	0	2	0	2	1	0	3.0	0	10	A lone wolf stalked the moors all night long, its ethereal howls piercing through the darkness.	0
9	1	0	1	1	0	2	0	1	0	1	2	0	0	0	1	0	0	3.0	0	4	Twenty-seven dogs barked loudly in the park	0
