n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PROPN_constraint
11	1	0	1	2	0	2	3	0	0	2	0	0	0	1	1	1	0	3.0	1	4	My cat woke me up purring loudly on my bed.	0
13	1	0	1	0	0	0	3	0	0	1	0	4	2	2	2	1	0	4.0	2	6	I am ready whenever you might be to tackle whatever is next!	0
10	0	0	1	2	0	3	1	2	0	1	0	0	0	0	2	1	0	3.0	0	7	They played soccer with the dogs in the field.	0
12	0	0	1	1	0	4	2	1	0	1	0	0	1	0	1	1	0	3.0	0	8	My boss loves the new design for our client's presentation.	0
10	1	0	1	0	0	2	1	1	0	2	0	0	2	1	2	1	0	2.0	1	5	Bright, sparkling lights filled the room when I entered	0
10	0	0	1	2	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	6	The ball bounced onto the ground with great force.	0
12	0	0	1	2	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	6	The cat jumped out of the window to chase the bird.	0
16	2	2	1	1	0	2	3	0	0	3	0	1	1	3	1	1	0	6.0	3	5	Thanks for always making certain my items are neatly folded before returning them to me.	0
10	1	0	1	1	0	3	1	1	0	1	0	0	1	0	1	0	0	2.0	0	5	The monkey happily munched on his delicious banana snack.	0
22	0	0	3	2	2	4	1	1	0	1	2	1	4	1	1	0	0	4.0	1	7	Fast and efficient support with friendly experts, available 24\*7 for any questions or concerns you may have.	0
16	1	1	2	2	0	3	3	1	0	2	0	1	0	1	1	1	0	3.0	1	12	Thanks for bringing that issue to my attention, we will certainly look into it!	0
11	0	0	1	0	2	2	1	0	0	4	0	0	0	1	2	1	0	3.0	1	8	Cats love to chase and pounce, but they hate mice	0
11	1	1	1	0	0	4	1	0	0	1	0	0	2	1	0	1	0	3.0	1	7	Thanks for making our little family photo shoots so enjoyable.	0
14	1	0	1	1	0	3	2	1	1	2	0	0	1	1	2	2	0	4.0	1	4	Mary's son smiled when she read him the new story at bedtime.	0
12	1	0	0	1	1	2	0	1	2	0	0	1	3	0	1	0	0	3.0	0	6	Muhammad Ali was an American professional sportsman and also famous for boxing	0
13	0	1	1	1	1	4	2	0	0	1	0	0	2	1	0	1	0	4.0	1	9	Thanks for bringing your great energy and attention to our important meeting.	0
8	0	0	1	1	0	2	1	1	0	1	0	0	1	0	1	0	0	2.0	0	3	The fluffy kitten played with my tail.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
20	1	2	1	2	0	3	3	1	0	4	0	1	1	2	2	2	0	6.0	2	4	I've attached a thorough list of requested materials for you to examine closely before sharing them with Production.	0
11	0	0	1	2	0	2	2	0	1	2	0	0	0	1	1	1	0	3.0	1	6	John walked to pick his daughter up at her preschool.	0
11	2	0	2	0	0	1	3	0	0	1	0	1	1	0	2	1	0	2.0	0	5	My brother is awesome, so you better believe me!	0
20	0	0	1	2	0	5	1	4	0	2	0	1	2	2	1	0	0	5.0	2	7	It was an incredible sight to see the tree's roots wrap around the rocks like a big hug.	0
8	1	0	2	0	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	Happily, their smiles illuminated a room.	0
15	5	0	1	0	0	1	3	1	0	2	0	0	2	1	2	2	0	3.0	1	7	The new puppy made me incredibly happy when I finally cuddled him close enough.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The dog barked at the cat.	0
14	0	0	2	0	0	2	1	2	0	1	0	2	3	2	2	1	0	3.0	2	10	I am excited to start this new adventure, the possibilities are endless!	0
16	1	1	1	3	1	5	0	0	0	3	0	1	0	1	1	1	0	3.0	1	8	Dog will chase cat in park with swing set until rained out and goes home. 	0
15	0	0	1	2	0	3	3	2	0	1	0	1	1	1	0	1	0	3.0	1	7	It was a good idea to visit her in the hospital after her accident.	0
10	1	0	1	1	1	2	1	1	0	2	0	0	0	0	1	0	0	2.0	0	5	The cat jumped into my lap and purred happily.	0
6	0	0	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	2.0	0	4	Thanks for the excellent instructions!	0
10	0	0	1	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	5	The sun was bright and the sky was blue!	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The baby cooed sweetly in my arms.	0
12	0	0	1	1	0	1	3	1	0	2	0	1	1	1	2	1	0	3.0	1	4	I can't wait for the amazing trip that awaits us!   (Note: The proper nouns in the instruction are highlighted for reference. Please avoid using them in your response.)	0
4	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	2.0	0	2	Makes perfect sense.	0
11	0	0	1	2	0	4	1	1	0	1	0	0	0	0	1	0	0	4.0	0	5	The cat purred with content in its owner's lap.	0
8	0	1	1	0	0	2	0	2	0	2	0	0	0	1	2	0	0	3.0	1	4	The baby cheered as the bubble popped. 	0
12	2	0	1	1	0	2	0	2	0	0	0	1	3	0	1	0	0	2.0	0	4	A new car is just as good as a new home.	0
