n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADJ_constraint
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on Mary's lap.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
11	2	1	1	1	0	1	1	1	1	1	0	1	0	0	2	0	0	3.0	0	5	Carl ran down the street as fast as he could.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	She ate a sandwich for lunch.	0
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on John's lap.	0
13	0	0	2	1	0	3	0	3	0	1	0	0	3	0	1	1	0	2.0	0	5	With a loud thud, the heavy object struck the hard ground.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	She ate a sandwich for lunch.	0
16	1	0	1	2	1	3	2	2	0	3	0	0	0	1	1	2	0	4.0	1	6	She quickly grabbed her coat and ran out of the building to catch the bus.	0
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	6	The cat sat on the mat with the mouse.	0
13	1	1	1	0	0	2	1	2	1	3	0	0	0	2	1	3	0	4.0	2	4	Bob quickly ate the sandwich without taking the time to smell it.	0
9	0	0	1	1	0	1	0	1	0	2	1	1	0	0	1	1	1	2.0	1	5	Edited had found $100 on the sidewalk.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
11	1	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	6	A blue fish swam in the clear ocean water quickly.	0
6	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	4	Sarah walked quickly down the street	0
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	She walked slowly to the door.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The horse raced across the field.	0
7	0	0	0	1	0	2	0	1	1	1	0	0	1	0	1	1	0	2.0	0	5	Bob ate the bland sandwich in silence	0
11	0	0	1	1	0	3	0	1	1	1	0	0	3	0	1	1	0	2.0	0	8	Sarah ate a big juicy steak for dinner last night.	0
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	He walked swiftly down the path.	0
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on Maria's lap.	0
11	1	0	1	1	0	3	0	3	0	1	0	0	1	0	1	1	0	2.0	0	5	The old woman quickly put the kettle on the stove.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
7	1	0	0	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The dog ran swiftly down the street	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The big red car drove fast down the road.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	4	Sunflowers danced in the yellow fields.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	A dark figure emerged from the shadows.	0
8	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	2.0	0	5	She walked quietly down the dark street.	0
6	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	3	She ate the sandwich quickly.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky was blue.	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	1	0	2.0	0	4	The dog chased the ball with determination.	0
7	0	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	2.0	0	4	Mary walked to the grocery store.	0
11	1	0	1	1	0	2	0	2	0	1	0	1	2	0	1	0	0	2.0	0	6	The sun was shining brightly in the clear blue sky.	0
12	0	0	2	2	0	3	0	2	1	2	0	0	0	1	1	1	0	3.0	1	5	Max stood in the doorway, observing the room without emotion.	0
11	0	0	1	1	0	2	1	0	1	2	0	0	3	1	2	1	0	4.0	1	4	Mandy has blue-gray eyes that glisten with joyful light	0
4	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	1	0	1.0	0	1	Mars invaded Earth.	0
12	0	0	1	2	0	3	0	3	0	1	0	0	2	0	1	0	0	3.0	0	5	A tall man with a broad smile jogged through the park.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The car turned left onto the highway.	0
6	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	3	They ate quickly the soup.	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat slid across the hardwood floor.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred loudly on my lap.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun slowly rose over the horizon.	0
6	0	0	1	0	0	2	0	0	0	0	0	1	1	0	1	0	0	3.0	0	2	Mom's car is red.	0
5	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	2.0	0	2	I have two dogs.	0
6	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	3	John walked to the store.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The sun shone brightly on the green grass.	0
6	1	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	3	The cat was incredibly fluffy.	1
8	0	0	1	1	0	2	0	1	0	1	0	0	2	0	1	0	0	2.0	0	4	Stunning sunflowers swayed in the gentle breeze.	1
10	1	0	1	1	0	2	1	0	1	1	0	0	1	0	1	0	0	3.0	0	4	Sophie's slender cat purred contentedly on her lap.	1
9	1	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	4	The sun was shining brightly across the horizon.	1
12	0	0	1	3	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	6	The bright orange sun peeked out from behind the dark clouds.	1
