n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PRON_constraint
9	1	0	1	1	0	3	0	1	0	1	0	0	1	0	1	1	0	3.0	0	3	Birds sing beautiful melodies early in the morning. 	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The mountains towered majestically over the landscape.	0
19	0	1	1	2	0	6	0	1	0	2	0	0	6	1	2	0	0	3.0	1	10	Bright blue skies smiled upon green rolling hills as white puffy cumulus clouds danced across the sunny sky. (1 sentence)	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
7	0	0	1	1	0	2	0	0	1	1	0	0	1	0	1	0	0	2.0	0	3	Lake erasure lingers among fissured ridges.	0
7	0	0	1	1	0	3	0	1	0	1	0	0	0	0	1	0	0	2.0	0	4	Elephants parade down the jungle path.	0
9	1	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The mountain climber stood motionless near the summit. (No pronouns used.)	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun set slowly in the sky.	0
9	0	0	1	1	0	2	1	1	0	1	0	0	2	0	1	0	0	2.0	0	5	The tree stood tall despite its fragile appearance. (0 pronouns)	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The cat chased the mouse.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
