n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	VERB_constraint
6	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	2.0	0	2	One cat chased the other.	0
5	0	0	0	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	A rainbow spans the sky	0
10	0	0	1	2	0	3	0	2	0	2	0	0	0	1	1	0	0	3.0	1	5	The sky remained suspended over the earth in silence. (Note: This will be a single sentence with only 0 verbs)	0
8	0	0	0	0	0	2	1	1	0	2	0	0	1	1	1	2	0	3.0	1	4	I went the store to buy orange juice	0
10	0	0	1	1	0	4	0	2	0	0	0	1	1	0	1	0	0	2.0	0	4	The sky was a lovely shade of blue today.	0
9	0	0	1	1	1	2	0	2	0	2	0	0	0	0	1	0	0	2.0	0	5	The cat sat on the mat and purred.	0
6	1	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	2.0	0	3	Sun rose majestically in sky.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat slept.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred gently on my lap.	0
7	0	0	1	1	0	3	1	0	0	1	0	0	0	0	1	1	0	2.0	0	4	Nature hides its majesty under lichens.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The dog chased the mailman.	0
5	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2.0	0	3	The sky colored orange.	0
15	3	0	1	2	0	2	2	1	0	2	0	1	1	1	1	1	0	4.0	1	5	Never before had they seen so many eyes staring at them from all directions.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat sat.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog purred.	0
9	1	0	1	1	0	2	0	2	0	2	0	0	0	0	1	0	0	2.0	0	4	An abandoned train rode silently across the desert.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cats purred contentedly on the windowsill.	0
12	0	0	3	1	0	3	0	2	0	2	1	0	0	0	2	0	0	3.0	0	8	The cat sat in the sun. (0 verbs used)	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun set slowly.	0
5	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	1	0	2.0	0	1	Water ripples reflected sunlight.	0
6	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	2.0	0	4	Sun sets slowly in orange hues	0
8	0	0	1	1	0	2	2	1	0	1	0	0	0	0	1	1	0	2.0	0	5	She rode her bike to the store. (0 verbs)	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets slowly over the horizon.	0
5	0	0	0	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	This sentence has no verbs	0
3	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred	0
8	0	0	0	1	0	4	0	1	0	1	0	0	0	0	1	0	0	3.0	0	5	Sand castles towered at the ocean's edge	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	5	The sun rises in the east each day.	0
10	0	0	1	0	1	3	0	1	0	2	0	1	0	1	1	1	0	4.0	1	2	No verbs are needed to convey thought and purpose. It was decided that a walk in the hills would be the perfect way to end the week. (0 verbs)	0
4	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	1.0	0	1	Bird flew tree.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The car purred gently down the road.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun shone brightly on the flowers.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun set slowly in the sky.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The car drove to the store.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The sun rises slowly in the eastern sky.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred.	0
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on Myeolmam's lap.	0
7	0	0	1	1	0	3	0	1	0	1	0	0	0	0	0	1	0	3.0	0	3	Eat a slice of apple pie.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun set slowly over the horizon.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky was blue. (0 verbs)	0
3	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat sat	0
7	0	0	1	0	0	1	1	1	0	0	0	1	2	0	1	0	0	1.0	0	5	This is a beautiful sunny day. (0 verbs)	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The car drove down the hill.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue.	0
9	1	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	5	The moon shines brightly in the night sky.	0
6	0	0	1	0	0	2	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The color blue is seen.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred.	0
29	3	1	2	5	0	7	4	1	0	4	0	0	1	2	2	0	1	4.0	3	11	With a heavy weight of sorrow pressing down upon my head, my eyes cast down toward my feet while tears slowly begin to fall from their corners.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
7	0	0	1	0	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	3	I will attend the party tonight.	1
10	1	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	6	The cat chased the mouse quickly around the room.	1
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	She walked slowly to the door.	1
5	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	2	I have generated an apple	1
6	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0	0	2.0	0	3	Rachel will run to the store	1
7	1	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	The dog chased the cat quickly.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat slept.	1
6	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	She quickly cleaned the kitchen.	1
10	1	0	0	1	1	2	1	1	1	2	0	0	0	0	1	2	0	3.0	0	4	Lizzy quickly grabbed her jacket and headed out the door	1
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	She laughed loudly at the joke.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
8	1	0	1	0	0	1	1	1	0	2	0	1	0	1	2	0	0	2.0	1	4	The cat purred when it was petted.	1
5	0	0	0	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	Sunlight streamed across the landscape	1
14	0	1	2	1	0	3	0	3	1	3	0	0	0	1	2	1	1	3.0	2	6	Sprinting down the hall, Sarah reached the classroom before the bell rang.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rose brightly in the sky. (1 verb)	1
9	2	0	2	0	0	3	0	1	0	1	0	0	0	0	1	1	0	2.0	0	6	Runs rapidly downwind, a bird takes flight.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	2.0	0	2	Wrote the book.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
7	0	0	0	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The sun was setting over the ocean	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
13	0	0	1	2	0	3	1	2	1	2	0	0	1	0	1	2	1	3.0	1	7	Rushing down the mountain on his bike gave Alex an exhilarating feeling.	1
11	0	0	1	2	0	3	1	2	0	2	0	0	0	0	1	2	1	3.0	1	4	Running through the forest brought me a sense of freedom.	1
9	0	0	1	1	0	2	1	1	0	1	1	1	0	0	1	1	0	2.0	0	5	I have generated a sentence with 1 verb: She walked rapidly into the park.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The teacher smiled at the student.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The ball bounced into the basket.	1
9	0	0	1	2	0	3	1	0	0	2	0	0	0	1	1	1	0	3.0	1	5	I love playing soccer with friends on weekends.	1
