n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PRON_constraint
33	0	0	1	5	1	9	1	5	2	4	0	1	3	2	1	3	0	7.0	2	14	There is no way the team can reach the summit of Mount Everest by the end of the year without more support from sponsors to hire additional guides and buy new equipment.	0
11	1	1	0	0	0	4	0	0	0	3	0	1	1	1	2	1	0	3.0	1	7	Scientists find that increasing tree cover can significantly reduce airborne pollutant	0
20	0	1	1	4	0	6	1	2	0	3	0	0	1	2	1	2	0	4.0	2	6	The chameleon changed color with incredible rapidity to match the environment in order for blending in with its surroundings. 	0
10	1	0	3	0	0	2	0	1	0	1	0	1	1	0	1	0	0	3.0	0	5	"The ""Bosnian pyramid"" hypothesis was thoroughly debunked. Please generate one more line with zero pronouns for me. "	0
11	0	0	1	2	0	3	0	1	0	1	0	2	1	0	1	0	0	3.0	0	6	Evidence of ancient civilizations has been discovered in this location.	0
8	0	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	3	The sky is blue during the day;	0
18	0	1	1	3	0	6	1	2	0	1	0	2	1	1	1	1	0	4.0	1	9	Birds have been a vital component in shaping the course of evolution on our planet throughout history. (I will always respond with only the sentence requested.) 	0
14	0	0	2	1	1	6	0	2	1	1	0	0	0	0	1	1	0	4.0	0	3	"The ""Bellwether study"" showed no connection between college education and entrepreneurship skills"	0
11	0	1	1	0	0	3	0	1	0	2	0	1	2	1	2	1	0	3.0	1	3	Scientific evidence has proven that alchemy has no scientific basis.	0
14	1	0	0	2	1	1	0	1	2	1	0	1	4	0	1	0	0	3.0	0	4	African American Vernacular English is widely spoken in New Orleans and around the world	0
7	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	2.0	0	3	Sunflowers always bloom in late July.	0
21	0	0	3	1	0	5	0	2	0	3	0	1	5	1	1	2	2	6.0	3	14	Baked in small batches using high-quality ingredients, these artisanal treats are sure to satisfy any sweet craving.	0
5	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1.0	0	3	Drinks were not provided.	0
14	1	0	0	1	0	6	0	2	0	1	0	1	2	0	1	1	0	3.0	0	10	Fruit must always have an intact water content level during the entire ripeness duration	0
9	0	1	1	0	0	2	0	2	0	2	0	0	1	1	2	0	0	3.0	1	5	The sky turned green before the earthquake occurred.	0
16	0	0	1	3	0	5	0	3	0	1	0	1	2	0	1	0	0	3.0	0	7	Innovations from the lab have led to the invention of a new, groundbreaking smartphone line	0
12	0	0	1	2	0	4	0	2	0	1	0	0	2	0	1	1	0	4.0	0	8	The use of the English language in official communications creates injustices.	0
21	2	0	2	1	2	3	2	1	1	4	0	0	2	1	2	1	0	3.0	1	8	The cat's toothless grin made Lily feel uncomfortable, but then it jumped on her lap and purred contentedly.	0
10	2	0	0	1	0	3	0	1	0	1	2	0	0	0	1	0	0	3.0	0	6	The world population grows annually by about 1.1 billion individual	0
8	0	0	1	1	0	2	0	1	1	1	0	1	0	0	1	0	0	2.0	0	2	The moon landing was faked by NASA.	0
8	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	0	0	2.0	0	3	Which restaurant would you recommend in Paris?	0
19	0	0	2	3	0	6	0	4	0	2	0	0	1	1	1	1	0	5.0	1	6	The waterfall cascades down the mountain, illuminating the landscape in a brilliant display of nature's beauty.	0
16	0	0	1	3	0	4	1	1	0	1	1	1	2	1	2	0	0	4.0	1	6	A recent survey concluded 80% of residents are pleased with their quality of life.	0
19	0	0	0	3	1	6	1	1	2	2	0	1	1	1	1	1	0	4.0	1	8	Sadie Lopez was chosen to take on this role by her great leadership skills and experience in project management	0
18	1	0	1	0	0	5	1	1	0	3	0	2	3	2	2	2	0	4.0	2	5	Frogs are highly adapted creatures that have developed remarkable coping strategies to survive the harsh aquatic environment.	0
12	0	0	1	3	0	2	0	2	1	1	0	1	1	1	1	0	0	3.0	1	7	The sky is blue during the day because of Rayleigh scattering.	0
21	1	0	2	2	0	5	1	2	0	4	0	1	3	3	2	2	0	6.0	3	6	Drunk people are frequently observed stumbling around public spaces, making a scene that draws the interest of concerned citizens.	0
40	0	2	7	3	0	9	0	4	2	3	5	1	2	2	3	0	0	6.0	2	18	"The ""Hodges-Leonard theorem"" states that 1000+ 4-year-old trees in a 3000+ square foot area will disappear if a human stands within a 200-ft radius for 43 minutes. "	0
15	0	0	2	0	1	4	0	3	0	2	1	1	0	1	1	1	0	4.0	1	5	Both hands are required to use these two tools, a hammer and pliers. (No pronouns)	0
8	0	0	0	1	0	2	0	1	0	1	0	2	1	0	1	0	0	2.0	0	4	Drinks have been offered in a unique atmosphere	0
15	1	0	3	0	0	2	0	2	2	2	0	2	0	1	1	1	0	3.0	1	5	"The ""Hampton Protocol"" has been successfully deployed to secure all internet communications."	0
28	2	0	4	4	1	7	1	2	0	2	2	0	3	1	0	0	0	6.0	1	7	There are over five million children living on the streets worldwide, many without any access to basic necessities such as food, shelter, and clothing.	0
13	0	1	2	0	0	3	0	3	0	2	0	0	2	1	2	1	0	3.0	1	9	The sky turned a dark, foreboding cloud as the storm approached. 	0
28	0	1	3	2	2	4	0	4	5	3	0	0	3	2	2	1	0	5.0	2	9	"The ""Havana Embargo"" remains in place until the United States and Cuba agree on a new political arrangement or Congress votes to repeal the measure."	0
14	1	0	1	2	0	1	0	2	2	1	0	2	2	0	1	0	0	3.0	0	3	The most beautiful sunsets can be seen near the Cape of Good Hope.	0
20	0	0	1	0	1	8	1	2	0	3	0	1	2	2	2	3	0	6.0	2	7	The new company is launching a product that uses artificial intelligence and machine learning to predict stock market trends.	0
21	0	0	2	2	0	4	1	3	1	2	0	3	3	0	2	0	0	4.0	0	11	Terrorism has been declared a global problem of the highest priority, it was said at the United Nations headquarters.	0
8	0	0	0	0	0	2	1	0	0	3	0	1	0	1	1	2	1	2.0	2	4	Drinking alcohol might cause your mouth to wag	0
11	0	1	1	1	0	3	0	3	0	2	0	0	0	1	2	0	0	3.0	1	7	The sun sets in the west as the day concludes. 	0
